BELNR,WAERS,BUKRS,KTOSL,PRCTR,BSCHL,HKONT,DMBTR,WRBTR,label
375366,C1,C18,C1,C13,A1,B1,55069.07,12058,regular
375367,C4,C40,C1,C16,A2,B1,785728.18,0,regular
375368,C1,C18,C9,C94,A1,B1,417687.52,0,regular
375369,C7,C75,C6,C62,A3,B2,396909.2,0,regular
375370,C1,C16,C1,C12,A1,B1,1282489.71,22948,regular
375371,C2,C24,C2,C22,A1,B3,46745.81,609,regular
375372,C5,C51,C2,C24,A3,B3,93200.95,0,regular
375373,C1,C16,C2,C20,A1,B3,834181.19,9973,regular
375374,C1,C14,C8,C84,A1,B3,662299.74,0,regular
375375,C1,C13,C1,C11,A1,B1,326051.32,0,regular
375376,C2,C20,C1,C15,A1,B1,572966.69,80630,regular
375377,C1,C13,C1,C19,A1,B1,846270.27,0,regular
375378,C1,C16,C1,C16,A1,B1,89367.28,2176,regular
375379,C1,C16,C1,C12,A1,B1,1215780.93,253276.43,regular
375380,C1,C16,C2,C29,A1,B3,17356.88,0,regular
375381,C9,C93,C8,C87,A2,B3,928728.29,0,regular
375382,C1,C19,C1,C12,A1,B1,1097272.82,39377,regular
375383,C4,C49,C9,C91,A2,B1,913294.56,0,regular
375384,C1,C12,C4,C47,A1,B3,1199523.94,52036.54,regular
375385,C5,C58,C9,C93,A3,B1,172921.66,31798,regular
375386,C1,C14,C1,C10,A1,B1,489726.59,198334,regular
375387,C1,C11,C1,C15,A1,B1,291486.27,76483,regular
375388,C1,C19,C1,C12,A1,B1,496633.52,0,regular
375389,C1,C14,C2,C24,A1,B3,584104.9,157,regular
375390,C3,C37,C1,C12,A3,B1,957678.66,0,regular
375391,C1,C17,C1,C17,A1,B1,488352.98,0,regular
375392,C7,C77,C1,C15,A3,B1,301851.23,0,regular
375393,C7,C75,C4,C48,A3,B3,951474.06,54128,regular
375394,C1,C11,C1,C13,A1,B1,181309.39,1369,regular
375395,C3,C30,C8,C86,A3,B3,1124656.08,5138,regular
375396,C7,C70,C5,C55,A3,B1,929987.66,27791.98,regular
375397,C7,C75,C3,C39,A3,B2,22247418.92,0,regular
375398,C1,C17,C2,C25,A1,B3,23521.26,0,regular
375399,C1,C17,C8,C81,A1,B3,167028.62,0,regular
375400,C9,C94,C1,C15,A2,B1,848286.42,30567,regular
375401,C9,C90,C1,C16,A2,B1,400319.95,0,regular
375402,C1,C10,C1,C18,A1,B1,4065359.59,24963,regular
375403,C3,C33,C7,C72,A3,B2,631136.12,0,regular
375404,C1,C11,C1,C16,A1,B1,252349.52,0,regular
375405,C2,C20,C1,C19,A1,B1,54747.76,53096,regular
375406,C6,C64,C1,C17,A2,B1,516054.55,0,regular
375407,C5,C56,C1,C15,A3,B1,501172.19,0,regular
375408,C8,C80,C2,C20,A1,B3,124798.29,0,regular
375409,C2,C20,C7,C78,A1,B2,284504.75,10216,regular
375410,C1,C18,C4,C46,A1,B3,496137.66,20313,regular
375411,C3,C33,C1,C15,A3,B1,380530.65,380380,regular
375412,C2,C21,C1,C14,A1,B1,116037.64,0,regular
375413,C1,C17,C1,C18,A1,B1,177135.56,0,regular
375414,C3,C36,C1,C14,A3,B1,543404.58,16940,regular
375415,C5,C56,C7,C79,A3,B2,41282.54,0,regular
375416,C1,C11,C1,C18,A1,B1,711605.16,0,regular
375417,C1,C19,C1,C15,A1,B1,286194.47,0,regular
375418,C8,C87,C1,C14,A1,B1,894437.08,0,regular
375419,C1,C19,C1,C13,A1,B1,909478.68,0,regular
375420,C2,C20,C7,C75,A1,B2,76052.79,19883,regular
375421,C2,C27,C1,C12,A1,B1,1480877.84,0,regular
375422,C1,C16,C1,C19,A1,B1,1616373.75,0,regular
375423,C1,C17,C1,C17,A1,B1,1144351.06,0,regular
375424,C1,C17,C9,C90,A1,B1,1814865.83,0,regular
375425,C1,C12,C2,C21,A1,B3,1075869.23,32448,regular
375426,C1,C14,C7,C72,A1,B2,1844944.41,0,regular
375427,C1,C15,C2,C27,A1,B3,1526238.87,100354,regular
375428,C1,C18,C9,C91,A1,B1,240229.5,0,regular
375429,C9,C99,C1,C10,A2,B1,1468263.87,0,regular
375430,C1,C10,C3,C32,A1,B2,143883.65,36035.53,regular
375431,C1,C11,C1,C12,A1,B1,20523.86,31183,regular
375432,C1,C10,C1,C11,A1,B1,106422.33,349,regular
375433,C1,C13,C1,C10,A1,B1,436003.73,498,regular
375434,C1,C12,C1,C13,A1,B1,221517.74,7306,regular
375435,C1,C15,C1,C13,A1,B1,966036.33,152684,regular
375436,C3,C35,C6,C69,A3,B2,317256.24,0,regular
375437,C1,C14,C1,C12,A1,B1,1045077.59,0,regular
375438,C1,C19,C1,C10,A1,B1,1478283.95,53004,regular
375439,C7,C76,C1,C19,A3,B1,1557056.71,7016,regular
375440,C4,C40,C1,C10,A2,B1,5943239.4,19023,regular
375441,C2,C28,C4,C47,A1,B3,1586966.64,219,regular
375442,C1,C19,C7,C78,A1,B2,1310503.55,100674,regular
375443,C1,C17,C1,C10,A1,B1,441397.74,19774,regular
375444,C1,C12,C3,C33,A1,B2,121313.33,10004,regular
375445,C1,C18,C1,C19,A1,B1,65237.75,41202,regular
375446,C2,C20,C2,C28,A1,B3,1083384.59,0,regular
375447,C6,C67,C1,C17,A2,B1,266978.84,74797,regular
375448,C1,C16,C5,C52,A1,B1,650691.95,15741,regular
375449,C1,C10,C1,C19,A1,B1,1560329.62,253812,regular
375450,C2,C24,C1,C12,A1,B1,187900.46,0,regular
375451,C1,C12,C1,C18,A1,B1,754155.94,20439,regular
375452,C1,C17,C1,C14,A1,B1,208509.37,33031,regular
375453,C4,C49,C4,C40,A2,B3,1077009.59,20256,regular
375454,C1,C13,C4,C40,A1,B3,769387.02,113503,regular
375455,C1,C19,C2,C20,A1,B3,604904.41,21170,regular
375456,C1,C15,C1,C10,A1,B1,460767.67,0,regular
375457,C2,C21,C2,C21,A1,B3,552203.21,859,regular
375458,C1,C16,C5,C55,A1,B1,139509.74,0,regular
375459,C4,C46,C7,C78,A2,B2,564171.56,0,regular
375460,C1,C12,C1,C10,A1,B1,85591.62,0,regular
375461,C1,C16,C1,C12,A1,B1,2470746.34,0,regular
375462,C1,C11,C1,C18,A1,B1,588975.37,0,regular
375463,C1,C10,C2,C24,A1,B3,2614243.11,0,regular
375464,C3,C34,C1,C18,A3,B1,1096039.4,911832.47,regular
375465,C7,C70,C1,C19,A3,B1,495484.76,0,regular
375466,C1,C13,C8,C87,A1,B3,88484.69,202382,regular
375467,C2,C20,C4,C41,A1,B3,206127.42,403697.33,regular
375468,C1,C15,C1,C10,A1,B1,211705.27,0,regular
375469,C4,C41,C6,C67,A2,B2,682627.34,0,regular
375470,C1,C16,C1,C12,A1,B1,290062.26,34930,regular
375471,C1,C11,C4,C43,A1,B3,10000000,0,regular
375472,C7,C76,C5,C52,A3,B1,1344383.97,0,regular
375473,C2,C20,C9,C99,A1,B1,598613.04,0,regular
375474,C5,C56,C7,C71,A3,B2,402595.48,5030,regular
375475,C1,C12,C2,C25,A1,B3,1903207.97,0,regular
375476,C1,C12,C7,C79,A1,B2,227219.31,0,regular
375476,C6,C69,C8,C81,A2,B3,417784.05,0,regular
375476,C4,C46,C1,C11,A2,B1,148755.19,478,regular
375476,C1,C17,C2,C20,A1,B3,911767.1,0,regular
375476,C9,C98,C7,C72,A2,B2,1435316.53,33789,regular
375477,C7,C70,C7,C73,A3,B2,992934.17,93105,regular
375478,C7,C70,C2,C21,A3,B3,986499.91,0,regular
375479,C6,C67,C1,C10,A2,B1,307673.99,0,regular
375480,C2,C20,C1,C12,A1,B1,360644.69,104,regular
375481,C1,C18,C1,C15,A1,B1,2264733.58,0,regular
375482,C6,C61,C5,C59,A2,B1,3411017.38,0,regular
375483,C2,C20,C6,C63,A1,B2,1068054.52,0,regular
375484,C4,C49,C1,C18,A2,B1,154332.19,0,regular
375485,C2,C22,C1,C16,A1,B1,269061.36,1489,regular
375486,C3,C37,C1,C11,A3,B1,637129.05,1032,regular
375487,C2,C24,C1,C15,A1,B1,74163.83,0,regular
375488,C1,C19,C3,C34,A1,B2,431048.91,78240.26,regular
375489,C1,C17,C1,C12,A1,B1,148657.38,0,regular
375490,C1,C18,C5,C57,A1,B1,318420.75,60962,regular
375491,C7,C74,C2,C26,A3,B3,662680.14,0,regular
375492,C1,C11,C1,C12,A1,B1,1513996.52,0,regular
375493,C8,C86,C9,C98,A1,B1,10078.38,0,regular
375494,C1,C15,C6,C60,A1,B2,202430.52,0,regular
375495,C4,C43,C8,C81,A2,B3,206336.47,89305.99,regular
375496,C1,C19,C1,C10,A1,B1,105142.61,36608,regular
375497,C1,C10,C9,C91,A1,B1,218299.39,353430.28,regular
375498,C4,C43,C1,C15,A2,B1,2023675.49,96936,regular
375499,C6,C69,C1,C18,A2,B1,1068524.76,52798,regular
375500,C1,C18,C1,C19,A1,B1,14733965.06,0,regular
375501,C1,C17,C1,C13,A1,B1,378232.81,0,regular
375502,C6,C60,C1,C11,A2,B1,178426.21,0,regular
375503,C1,C18,C5,C57,A1,B1,1672570.76,1672570.76,regular
375504,C1,C15,C5,C52,A1,B1,363135.17,33154,regular
375505,C8,C86,C8,C84,A1,B3,463884.7,20543,regular
375506,C2,C20,C9,C94,A1,B1,719134.59,131910,regular
375507,C7,C78,C3,C30,A3,B2,147040.17,53915.66,regular
375508,C3,C39,C1,C17,A3,B1,1512243.16,5334,regular
375509,C1,C17,C1,C17,A1,B1,52233.9,61548,regular
375510,C2,C20,C1,C12,A1,B1,53706.25,114177.94,regular
375511,C3,C30,C3,C36,A3,B2,1014059.11,283333.8,regular
375512,C1,C12,C1,C18,A1,B1,106420.17,802,regular
375513,C3,C35,C5,C59,A3,B1,287991.58,3681,regular
375514,C1,C10,C1,C11,A1,B1,991577.62,391138.86,regular
375515,C7,C78,C1,C11,A3,B1,1488289.61,0,regular
375516,C7,C76,C9,C96,A3,B1,2301619.09,0,regular
375517,C3,C30,C7,C77,A3,B2,96773.14,225685.73,regular
375518,C9,C98,C4,C42,A2,B3,990180.93,0,regular
375519,C1,C12,C6,C61,A1,B2,1274426.01,558,regular
375520,C2,C28,C1,C14,A1,B1,327145.38,24054,regular
375521,C2,C21,C1,C16,A1,B1,659972.6,0,regular
375522,C1,C10,C1,C12,A1,B1,658669.03,156365,regular
375523,C4,C40,C1,C18,A2,B1,954688.01,0,regular
375524,C4,C47,C3,C33,A2,B2,641093.05,0,regular
375525,C2,C24,C1,C17,A1,B1,903160.36,0,regular
375526,C6,C61,C1,C18,A2,B1,2154748.64,0,regular
375527,C1,C19,C2,C20,A1,B3,418409.73,5087,regular
375528,C1,C17,C2,C20,A1,B3,1051386.68,878,regular
375529,C1,C12,C6,C64,A1,B2,557676.21,0,regular
375530,C1,C10,C1,C14,A1,B1,561786.67,27320.33,regular
375531,C2,C20,C1,C10,A1,B1,1384210.32,78766.4,regular
375532,C1,C11,C1,C18,A1,B1,1025033.34,0,regular
375533,C9,C97,C1,C11,A2,B1,232875.44,12759,regular
375534,C2,C20,C1,C10,A1,B1,340197.36,0,regular
375535,C2,C21,C3,C31,A1,B2,20724,30986,regular
375536,C1,C14,C1,C12,A1,B1,1025967.2,692,regular
375537,C9,C94,C1,C10,A2,B1,123446.18,24361,regular
375538,C1,C19,C1,C16,A1,B1,760216.99,607945,regular
375539,C1,C11,C1,C15,A1,B1,21858.88,252094,regular
375540,C1,C19,C7,C76,A1,B2,252231.25,0,regular
375541,C1,C15,C1,C11,A1,B1,543983.09,0,regular
375542,C1,C18,C1,C16,A1,B1,73568.21,0,regular
375543,C5,C55,C1,C10,A3,B1,538424.99,10304,regular
375544,C1,C16,C1,C19,A1,B1,147382.66,29843,regular
375545,C1,C16,C2,C20,A1,B3,325659.83,0,regular
375546,C3,C31,C2,C29,A3,B3,6031.47,0,regular
375547,C1,C19,C1,C12,A1,B1,466956.5,452828,regular
375548,C5,C52,C1,C16,A3,B1,1200171.13,10877.04,regular
375549,C3,C36,C8,C85,A3,B3,116366.71,0,regular
375550,C1,C18,C1,C14,A1,B1,8352.75,0,regular
375551,C1,C15,C9,C93,A1,B1,1666216.31,31264,regular
375552,C2,C20,C1,C19,A1,B1,452317.43,0,regular
375553,C1,C11,C7,C77,A1,B2,1183863.31,35662,regular
375554,C1,C10,C1,C17,A1,B1,104955.5,0,regular
375555,C1,C17,C1,C17,A1,B1,646793.02,2454,regular
375556,C2,C20,C2,C25,A1,B3,450657.51,27273,regular
375557,C1,C17,C8,C86,A1,B3,1084711.61,113312,regular
375558,C2,C27,C1,C18,A1,B1,1146634.16,0,regular
375559,C7,C71,C7,C78,A3,B2,93164.47,0,regular
375560,C1,C15,C2,C20,A1,B3,233630.96,0,regular
375561,C7,C73,C2,C20,A3,B3,920653.06,0,regular
375562,C1,C13,C1,C13,A1,B1,1121959.99,19097,regular
375563,C8,C89,C6,C68,A1,B2,4175.67,0,regular
375564,C9,C93,C8,C88,A2,B3,465252.1,110964.37,regular
375565,C1,C10,C1,C11,A1,B1,350062.25,0,regular
375566,C1,C15,C1,C15,A1,B1,97222.91,0,regular
375567,C6,C69,C8,C81,A2,B3,531186.17,0,regular
375568,C2,C20,C2,C23,A1,B3,155899.22,0,regular
375569,C2,C24,C3,C30,A1,B2,1775161.98,0,regular
375570,C4,C48,C6,C66,A2,B2,581072.47,0,regular
375571,C2,C21,C1,C14,A1,B1,1417403.39,0,regular
375572,C3,C33,C7,C71,A3,B2,2844387.39,53015,regular
375573,C3,C33,C1,C15,A3,B1,280997.29,0,regular
375574,C2,C28,C1,C14,A1,B1,215128.09,0,regular
375575,C1,C10,C1,C11,A1,B1,1408305.08,12359,regular
375576,C1,C13,C8,C86,A1,B3,180585.71,0,regular
375577,C1,C17,C1,C19,A1,B1,116598.24,0,regular
375578,C1,C11,C1,C12,A1,B1,156741.79,76609,regular
375579,C7,C72,C9,C90,A3,B1,2230884.46,0,regular
375580,C1,C10,C2,C21,A1,B3,444482.46,23891,regular
375581,C4,C45,C6,C60,A2,B2,257023.44,3046,regular
375582,C6,C63,C1,C12,A2,B1,60126.14,14616,regular
375583,C1,C14,C1,C13,A1,B1,1369700.9,16477.58,regular
375584,C8,C89,C1,C12,A1,B1,145568.35,309389.87,regular
375585,C3,C36,C1,C11,A3,B1,44256.29,49768,regular
375586,C1,C19,C1,C17,A1,B1,739376.41,102660,regular
375587,C1,C11,C1,C19,A1,B1,208554.02,239,regular
375588,C3,C32,C1,C19,A3,B1,97998.1,0,regular
375589,C9,C95,C1,C19,A2,B1,112105.08,0,regular
375590,C5,C50,C1,C10,A3,B1,762434.52,0,regular
375591,C1,C14,C2,C27,A1,B3,807228.01,298641,regular
375592,C1,C10,C2,C20,A1,B3,197859.13,0,regular
375593,C8,C83,C5,C55,A1,B1,46089.21,0,regular
375594,C7,C77,C1,C11,A3,B1,402072.94,0,regular
375595,C7,C75,C2,C20,A3,B3,239393.56,49688.42,regular
375596,C7,C74,C9,C93,A3,B1,1230706.41,0,regular
375597,C9,C93,C9,C99,A2,B1,1641243.03,0,regular
375598,C7,C72,C6,C69,A3,B2,296255.15,0,regular
375599,C1,C10,C1,C17,A1,B1,995831.2,17430,regular
375600,C8,C84,C1,C18,A1,B1,2583960.1,0,regular
375601,C9,C90,C2,C21,A2,B3,2211448.37,0,regular
375602,C4,C42,C4,C45,A2,B3,67653.77,0,regular
375603,C1,C19,C4,C42,A1,B3,848453.71,168,regular
375604,C1,C12,C4,C46,A1,B3,3341853.29,166935.46,regular
375605,C1,C12,C1,C10,A1,B1,499447.41,0,regular
375606,C1,C16,C1,C14,A1,B1,154604.43,0,regular
375607,C1,C18,C6,C64,A1,B2,94857.8,4521,regular
375608,C1,C16,C6,C60,A1,B2,433864.6,0,regular
375609,C4,C47,C1,C10,A2,B1,959418.19,0,regular
375610,C1,C10,C1,C15,A1,B1,575133.71,11185,regular
375611,C5,C59,C1,C11,A3,B1,574360.1,0,regular
375612,C1,C19,C3,C38,A1,B2,124834.64,0,regular
375613,C1,C19,C1,C18,A1,B1,1014422.07,0,regular
375614,C4,C40,C6,C65,A2,B2,497042.25,0,regular
375615,C2,C21,C1,C12,A1,B1,138796.92,0,regular
375616,C4,C48,C9,C96,A2,B1,1248036.34,91636,regular
375617,C9,C90,C1,C13,A2,B1,2190042.2,62949,regular
375618,C2,C28,C2,C21,A1,B3,504609.14,0,regular
375619,C4,C45,C1,C11,A2,B1,646603.55,0,regular
375620,C2,C20,C9,C97,A1,B1,608509.92,162424,regular
375621,C7,C71,C2,C28,A3,B3,66998.7,13588,regular
375622,C2,C29,C2,C20,A1,B3,952059.19,27608,regular
375623,C8,C83,C1,C14,A1,B1,127622.6,0,regular
375624,C1,C13,C9,C93,A1,B1,627743.27,0,regular
375625,C6,C66,C1,C18,A2,B1,39766.67,0,regular
375626,C1,C14,C1,C10,A1,B1,258482.8,60222,regular
375627,C1,C10,C2,C20,A1,B3,109087.3,0,regular
375628,C8,C81,C1,C12,A1,B1,1052001.37,0,regular
375629,C6,C66,C1,C15,A2,B1,266082.32,0,regular
375630,C4,C47,C1,C13,A2,B1,50177.37,31301,regular
375631,C2,C20,C2,C20,A1,B3,40060.69,18852,regular
375632,C1,C17,C1,C10,A1,B1,243080.6,0,regular
375633,C2,C20,C1,C18,A1,B1,33500.8,0,regular
375634,C1,C14,C6,C61,A1,B2,1174700.99,52.54,regular
375635,C8,C88,C1,C18,A1,B1,342562.05,96791.34,regular
375636,C2,C20,C8,C86,A1,B3,343163.61,50642,regular
375637,C5,C53,C4,C45,A3,B3,257963.69,0,regular
375638,C3,C32,C9,C95,A3,B1,2336836.78,0,regular
375639,C7,C77,C5,C54,A3,B1,1541813.3,16478,regular
375640,C9,C90,C6,C60,A2,B2,555949.82,103981,regular
375641,C1,C17,C1,C16,A1,B1,1622789.57,20051,regular
375642,C1,C10,C7,C76,A1,B2,96036.33,0,regular
375643,C1,C15,C1,C14,A1,B1,22279423.34,0,regular
375644,C1,C17,C1,C16,A1,B1,147585.39,0,regular
375645,C1,C12,C7,C71,A1,B2,642018.88,0,regular
375646,C1,C13,C1,C12,A1,B1,111651.76,0,regular
375647,C4,C44,C6,C68,A2,B2,578692.13,1390,regular
375648,C3,C34,C2,C21,A3,B3,417504.02,48833,regular
375649,C9,C91,C1,C19,A2,B1,251723.9,0,regular
375650,C2,C20,C1,C12,A1,B1,750181.03,18992.96,regular
375651,C8,C85,C7,C70,A1,B2,926129.46,807470.18,regular
375652,C7,C78,C4,C48,A3,B3,180227.41,0,regular
375653,C1,C12,C1,C15,A1,B1,2496353.43,0,regular
375654,C2,C26,C1,C16,A1,B1,64505.6,0,regular
375655,C4,C45,C2,C20,A2,B3,54366.94,25095,regular
375656,C1,C18,C7,C76,A1,B2,2480236.13,136,regular
375657,C9,C94,C7,C78,A2,B2,446222.16,0,regular
375658,C1,C14,C9,C96,A1,B1,638067.18,11819,regular
375659,C4,C40,C9,C90,A2,B1,659092.38,17242.87,regular
375660,C1,C13,C2,C21,A1,B3,341061.26,61741.34,regular
375661,C1,C12,C1,C19,A1,B1,87166,1149.13,regular
375662,C1,C10,C1,C12,A1,B1,881920.06,14456,regular
375663,C1,C18,C6,C66,A1,B2,522731.69,223480,regular
375664,C1,C19,C1,C13,A1,B1,638219.23,0,regular
375665,C2,C20,C1,C10,A1,B1,1050861.23,0,regular
375666,C1,C13,C8,C81,A1,B3,427598.88,19995,regular
375667,C1,C11,C1,C11,A1,B1,994036.84,0,regular
375668,C9,C95,C1,C12,A2,B1,10000000,72641,regular
375669,C1,C13,C4,C46,A1,B3,354049.27,0,regular
375670,C1,C12,C1,C10,A1,B1,716802.83,0,regular
375671,C5,C56,C1,C11,A3,B1,131158.29,0,regular
375672,C1,C14,C1,C10,A1,B1,289439.27,0,regular
375673,C3,C33,C9,C94,A3,B1,346521.78,84587.65,regular
375674,C1,C11,C1,C10,A1,B1,1315924.28,50601,regular
375675,C8,C80,C1,C13,A1,B1,1139761.78,47067.13,regular
375676,C2,C21,C1,C10,A1,B1,181564.67,337180.6,regular
375677,C6,C67,C1,C19,A2,B1,1508599.81,479,regular
375678,C5,C51,C8,C85,A3,B3,3035210.65,128369.94,regular
375679,C5,C52,C1,C10,A3,B1,28438.47,167,regular
375680,C1,C11,C1,C12,A1,B1,584455.86,0,regular
375681,C1,C14,C1,C13,A1,B1,96487.18,3626,regular
375682,C5,C54,C1,C15,A3,B1,413523.66,548761,regular
375683,C1,C12,C1,C17,A1,B1,339923.84,0,regular
375684,C8,C89,C2,C21,A1,B3,189806.56,0,regular
375685,C1,C11,C3,C39,A1,B2,111831.68,0,regular
375686,C1,C10,C1,C16,A1,B1,1010636.35,526,regular
375687,C1,C15,C2,C20,A1,B3,126864.05,0,regular
375688,C1,C15,C1,C10,A1,B1,166795.24,0,regular
375689,C1,C13,C1,C15,A1,B1,1057562.44,0,regular
375690,C1,C19,C8,C80,A1,B3,54074.29,134229,regular
375691,C1,C19,C1,C11,A1,B1,2111304.7,0,regular
375692,C5,C57,C5,C57,A3,B1,1179888.95,42609,regular
375693,C1,C14,C2,C20,A1,B3,1105321.56,1390,regular
375694,C3,C34,C1,C15,A3,B1,6805374.75,0,regular
375695,C1,C17,C9,C96,A1,B1,67144.1,0,regular
375696,C1,C12,C8,C80,A1,B3,1273820.64,52864,regular
375697,C6,C61,C1,C12,A2,B1,180017.21,30476,regular
375698,C1,C14,C1,C16,A1,B1,536078.55,390482.01,regular
375699,C2,C20,C2,C20,A1,B3,105637.99,0,regular
375700,C1,C16,C1,C14,A1,B1,34232.55,0,regular
375701,C1,C17,C1,C11,A1,B1,554456,0,regular
375702,C1,C15,C5,C56,A1,B1,164964.82,9964,regular
375703,C1,C15,C2,C20,A1,B3,858501.87,323,regular
375704,C8,C80,C6,C69,A1,B2,228879.86,0,regular
375705,C1,C13,C1,C11,A1,B1,1541118.06,24505,regular
375706,C1,C18,C2,C20,A1,B3,303597.43,0,regular
375707,C1,C18,C7,C73,A1,B2,735793.87,0,regular
375708,C7,C79,C9,C94,A3,B1,11319302.05,0,regular
375709,C9,C93,C1,C12,A2,B1,1159294.93,0,regular
375710,C1,C12,C1,C12,A1,B1,684693.19,50445,regular
375711,C4,C48,C8,C82,A2,B3,277741.22,28591,regular
375712,C6,C60,C9,C92,A2,B1,140520.52,0,regular
375713,C1,C18,C1,C13,A1,B1,364610.7,31295,regular
375714,C8,C87,C2,C29,A1,B3,1461849.62,0,regular
375715,C1,C19,C1,C11,A1,B1,616276.88,0,regular
375716,C3,C37,C1,C14,A3,B1,540131.41,0,regular
375717,C1,C12,C1,C16,A1,B1,240677.26,0,regular
375718,C1,C15,C1,C14,A1,B1,363086,4019,regular
375719,C2,C20,C6,C67,A1,B2,196539.87,106293,regular
375720,C9,C97,C5,C56,A2,B1,884755.05,25057.97,regular
375721,C1,C14,C1,C16,A1,B1,664378.54,0,regular
375722,C2,C21,C5,C56,A1,B1,71656.9,579,regular
375723,C8,C80,C5,C59,A1,B1,2384968.87,52877,regular
375724,C6,C63,C8,C89,A2,B3,1165891.71,24035,regular
375725,C1,C13,C3,C31,A1,B2,86561.71,936699.9,regular
375726,C1,C17,C7,C77,A1,B2,544571.59,0,regular
375727,C4,C47,C5,C52,A2,B1,835910.73,0,regular
375728,C1,C14,C1,C15,A1,B1,359815.15,369069.12,regular
375729,C1,C14,C8,C82,A1,B3,332030.5,0,regular
375730,C1,C19,C1,C14,A1,B1,989563.71,115650,regular
375731,C7,C74,C1,C18,A3,B1,1780831.4,52059,regular
375732,C2,C29,C1,C12,A1,B1,424203.89,18683.17,regular
375733,C4,C49,C7,C72,A2,B2,405145.19,42515,regular
375734,C1,C16,C4,C40,A1,B3,279421.54,38862,regular
375735,C5,C51,C1,C18,A3,B1,395783.34,256,regular
375736,C1,C19,C1,C10,A1,B1,506594.84,0,regular
375737,C4,C43,C1,C17,A2,B1,1818319.58,0,regular
375738,C1,C16,C1,C12,A1,B1,7554.09,0,regular
375739,C8,C85,C1,C15,A1,B1,424526.35,0,regular
375740,C1,C13,C4,C43,A1,B3,930349.27,11402,regular
375741,C5,C58,C9,C98,A3,B1,1482658.81,38865,regular
375742,C2,C21,C9,C97,A1,B1,364480.5,0,regular
375743,C1,C13,C1,C18,A1,B1,1074526.47,86530.43,regular
375744,C5,C54,C2,C24,A3,B3,477782.53,0,regular
375745,C5,C56,C1,C18,A3,B1,483841.43,30922,regular
375746,C1,C18,C3,C30,A1,B2,70122.25,0,regular
375747,C2,C24,C2,C21,A1,B3,7155148.69,0,regular
375748,C1,C10,C1,C19,A1,B1,263347.56,0,regular
375749,C1,C15,C1,C12,A1,B1,772488.24,0,regular
375750,C1,C10,C6,C67,A1,B2,68057.98,0,regular
375751,C6,C64,C1,C10,A2,B1,963383.49,152013,regular
375752,C1,C11,C5,C58,A1,B1,206491.41,203917.6,regular
375753,C1,C18,C1,C16,A1,B1,840070.68,0,regular
375754,C1,C16,C1,C13,A1,B1,629703.4,0,regular
375755,C1,C15,C1,C12,A1,B1,32804.52,19879,regular
375756,C6,C63,C2,C21,A2,B3,11608.65,0,regular
375757,C1,C10,C4,C40,A1,B3,523531.77,24426,regular
375758,C4,C40,C2,C25,A2,B3,446881.76,44737.55,regular
375759,C1,C15,C1,C11,A1,B1,1386787.23,3737,regular
